# Simulated random data file for batch processing
# timestamp: 2020-04-17 09:22:39
# JCS
# ------------------------

"var_x","var_y"
NA,0.924715175991878
0.886821592925116,0.015495256986469
0.888135930988938,0.209049991331995
0.260481798090041,0.286247747717425
0.732663577888161,0.228245756123215
0.832615861436352,0.0537988007999957
0.9108744522091,0.688117080135271
0.75428349361755,0.892870834330097
0.787901626434177,0.581201711203903
0.947242836467922,0.469768339768052
0.0857797400094569,0.0469095830339938
0.235712928930297,0.900697746314108
0.0442726402543485,0.812834110110998
0.899837763048708,0.217242034384981
0.230426713824272,0.811738831689581
0.432769917650148,0.88689685985446
0.912567605497316,NA
0.380739199928939,0.000694987131282687
0.799717484042048,0.592711149016395
0.70913108671084,0.466793414205313
0.196437055710703,0.770607079612091
0.00408999505452812,0.495593255385756
0.69861359661445,0.750363040948287
0.0650561838410795,0.0893729825038463
0.828491916880012,0.352275411598384
0.130154387326911,0.0691024493426085
0.81542074913159,0.422214582562447
0.934494895860553,0.270610848907381
0.205974985612556,0.0952280724886805
0.807087833294645,0.380477038910612
0.12904516607523,0.405131750041619
