# Simulated random data file for batch processing
# timestamp: 2020-04-17 09:22:39
# JCS
# ------------------------

"var_x","var_y"
NA,NA
0.491007223492488,0.15935469022952
NA,0.696732137817889
NA,NA
NA,0.78360871761106
0.04110326198861,0.946210850961506
0.431468804134056,0.625377115327865
0.191908238222823,0.717810072703287
0.481674465583637,NA
NA,0.0657249430660158
0.864577433560044,NA
0.883934931829572,0.194529432570562
0.362615720368922,0.855488803470507
0.839758018264547,0.942015588982031
0.560280689503998,0.62598141329363
0.921015220927075,0.428525265073404
0.788474185857922,0.155575124081224
NA,NA
0.241249746875837,0.898092617979273
0.196326323086396,NA
