Storm#,FlowStart,FlowEnd
1,6/20/19 13:27,6/20/19 23:48
2,6/25/19 11:13,6/26/19 4:46
3,6/29/19 21:55,6/30/19 4:46
4,7/11/19 22:25,7/12/19 7:48
5,7/28/19 14:51,7/29/19 2:16
6,8/8/19 1:04,8/8/19 11:26
7,8/17/19 6:33,8/17/19 22:16
8,8/21/19 11:57,8/22/19 6:55
9,8/28/19 19:34,8/29/19 4:15
10,9/2/19 0:51,9/3/19 8:44
11,9/23/19 19:05,9/25/19 1:50
12,9/26/19 11:48,9/27/19 3:28
13,10/1/19 20:41,10/2/19 11:32
15,10/7/19 3:43,10/8/19 9:53
16,10/16/19 21:44,10/18/19 12:52
17,10/27/19 9:20,10/28/19 10:36
